KDD17,Stocknet,EconomyNews,Phrasebank,BBCSport,SLSAmazon,SLSIMBD,SLSYelp,STSGold
0,957.9722,1082.1677,1017.1606,1029.3415,1075.7989,1075.8432,1075.8788,1060.4818
957.9722,0,544.0053,402.7425,432.2024,531.6792,531.7172,531.7952,501.2758
1082.1677,544.0053,0,412.8817,376.5257,143.9692,144.4168,145.5829,245.1798
1017.1606,402.7425,412.8817,0,234.274,395.7386,395.7628,395.8168,351.0521
1029.3415,432.2024,376.5257,234.274,0,357.2111,357.1053,357.2773,305.0942
1075.7989,531.6792,143.9692,395.7386,357.2111,0,79.209,79.4637,214.3396
1075.8432,531.7172,144.4168,395.7628,357.1053,79.209,0,79.0754,214.2398
1075.8788,531.7952,145.5829,395.8168,357.2773,79.4637,79.0754,0,214.4302
1060.4818,501.2758,245.1798,351.0521,305.0942,214.3396,214.2398,214.4302,0
